LOCATION,Value
AUS,50699.175108
AUT,54188.360666
BEL,50442.947518
CAN,48317.191163
CZE,38842.896268
DNK,55356.49009
FIN,47570.270354
FRA,44445.59677
DEU,53071.478374
GRC,28604.794575
HUN,29501.120486
ISL,55638.491978
IRL,77832.00899
ITA,41951.466331
JPN,41531.221619
KOR,40957.347064
LUX,114862.528755
MEX,19947.197691
NLD,55089.58143
NZL,42008.211082
NOR,64050.366694
POL,29714.590984
PRT,33044.70015
SVK,30066.187534
ESP,39580.188366
SWE,51947.942867
CHE,69103.567686
TUR,28193.061398
GBR,46385.63354
USA,59896.756042
CHL,24402.005375
CHN,14203.909059
COL,14479.812544
EST,33867.803542
IND,6299.036721
IDN,11050.882373
ISR,39137.375997
RUS,25926.431403
SVN,36517.579273
ZAF,12952.21634
OECD,43486.30343
OECDE,42601.251143
LVA,28689.57466
BRA,14596.889676
LTU,33761.906595
SAU,47862.022249
EA19,45708.459921
ARG,23597.117759
CRI,20368.230268
BGR,21470.001359
HRV,27119.160852
CYP,38288.138059
MLT,43530.51147
ROU,27136.130672
MKD,15706.475893
ZMB,3484.940724
HKG,59846.819225
MDG,1601.521574
MAR,7581.215412
SGP,95354.734241
EU27_2020,42704.066965
ALB,12771.000645
SRB,16611.065646
GEO,13589.730377
