"IUCN","IUCN Category","SPEC","Species","COU","Country","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"TOT_KNOWN","Total number of known species","MAMMAL","Mammals","AUS","Australia","NBR","Number","0","Units",,,377,,
"ENDANGERED","Number of endangered species","MAMMAL","Mammals","AUS","Australia","NBR","Number","0","Units",,,41,,
"CRITICAL","Number of critically endangered species","MAMMAL","Mammals","AUS","Australia","NBR","Number","0","Units",,,9,,
"VULNERABLE","Number of vulnerable species","MAMMAL","Mammals","AUS","Australia","NBR","Number","0","Units",,,57,,
"THREATENED","Total number of threatened species","MAMMAL","Mammals","AUS","Australia","NBR","Number","0","Units",,,107,,
"TOT_KNOWN","Total number of known species","MAMMAL","Mammals","AUT","Austria","NBR","Number","0","Units",,,104,,
"ENDANGERED","Number of endangered species","MAMMAL","Mammals","AUT","Austria","NBR","Number","0","Units",,,6,,
"CRITICAL","Number of critically endangered species","MAMMAL","Mammals","AUT","Austria","NBR","Number","0","Units",,,4,,
"VULNERABLE","Number of vulnerable species","MAMMAL","Mammals","AUT","Austria","NBR","Number","0","Units",,,17,,
"THREATENED","Total number of threatened species","MAMMAL","Mammals","AUT","Austria","NBR","Number","0","Units",,,27,,
"TOT_KNOWN","Total number of known species","MAMMAL","Mammals","BEL","Belgium","NBR","Number","0","Units",,,84,,
"ENDANGERED","Number of endangered species","MAMMAL","Mammals","BEL","Belgium","NBR","Number","0","Units",,,2,,
"CRITICAL","Number of critically endangered species","MAMMAL","Mammals","BEL","Belgium","NBR","Number","0","Units",,,4,,
"VULNERABLE","Number of vulnerable species","MAMMAL","Mammals","BEL","Belgium","NBR","Number","0","Units",,,12,,
"THREATENED","Total number of threatened species","MAMMAL","Mammals","BEL","Belgium","NBR","Number","0","Units",,,18,,
"TOT_KNOWN","Total number of known species","MAMMAL","Mammals","CAN","Canada","NBR","Number","0","Units",,,221,,
"ENDANGERED","Number of endangered species","MAMMAL","Mammals","CAN","Canada","NBR","Number","0","Units",,,10,,
"VULNERABLE","Number of vulnerable species","MAMMAL","Mammals","CAN","Canada","NBR","Number","0","Units",,,31,,
"THREATENED","Total number of threatened species","MAMMAL","Mammals","CAN","Canada","NBR","Number","0","Units",,,52,,
"TOT_KNOWN","Total number of known species","MAMMAL","Mammals","CZE","Czech Republic","NBR","Number","0","Units",,,95,,
"ENDANGERED","Number of endangered species","MAMMAL","Mammals","CZE","Czech Republic","NBR","Number","0","Units",,,1,,
"CRITICAL","Number of critically endangered species","MAMMAL","Mammals","CZE","Czech Republic","NBR","Number","0","Units",,,10,,
"VULNERABLE","Number of vulnerable species","MAMMAL","Mammals","CZE","Czech Republic","NBR","Number","0","Units",,,4,,
"THREATENED","Total number of threatened species","MAMMAL","Mammals","CZE","Czech Republic","NBR","Number","0","Units",,,15,,
"TOT_KNOWN","Total number of known species","MAMMAL","Mammals","DNK","Denmark","NBR","Number","0","Units",,,71,,
"ENDANGERED","Number of endangered species","MAMMAL","Mammals","DNK","Denmark","NBR","Number","0","Units",,,2,,
"CRITICAL","Number of critically endangered species","MAMMAL","Mammals","DNK","Denmark","NBR","Number","0","Units",,,1,,
"VULNERABLE","Number of vulnerable species","MAMMAL","Mammals","DNK","Denmark","NBR","Number","0","Units",,,6,,
"THREATENED","Total number of threatened species","MAMMAL","Mammals","DNK","Denmark","NBR","Number","0","Units",,,9,,
"TOT_KNOWN","Total number of known species","MAMMAL","Mammals","FIN","Finland","NBR","Number","0","Units",,,71,,
"ENDANGERED","Number of endangered species","MAMMAL","Mammals","FIN","Finland","NBR","Number","0","Units",,,4,,
"CRITICAL","Number of critically endangered species","MAMMAL","Mammals","FIN","Finland","NBR","Number","0","Units",,,1,,
"VULNERABLE","Number of vulnerable species","MAMMAL","Mammals","FIN","Finland","NBR","Number","0","Units",,,3,,
"THREATENED","Total number of threatened species","MAMMAL","Mammals","FIN","Finland","NBR","Number","0","Units",,,8,,
"TOT_KNOWN","Total number of known species","MAMMAL","Mammals","FRA","France","NBR","Number","0","Units",,,125,,
"ENDANGERED","Number of endangered species","MAMMAL","Mammals","FRA","France","NBR","Number","0","Units",,,4,,
"CRITICAL","Number of critically endangered species","MAMMAL","Mammals","FRA","France","NBR","Number","0","Units",,,3,,
"VULNERABLE","Number of vulnerable species","MAMMAL","Mammals","FRA","France","NBR","Number","0","Units",,,10,,
"THREATENED","Total number of threatened species","MAMMAL","Mammals","FRA","France","NBR","Number","0","Units",,,17,,
"TOT_KNOWN","Total number of known species","MAMMAL","Mammals","DEU","Germany","NBR","Number","0","Units",,,107,,
"ENDANGERED","Number of endangered species","MAMMAL","Mammals","DEU","Germany","NBR","Number","0","Units",,,10,,
"CRITICAL","Number of critically endangered species","MAMMAL","Mammals","DEU","Germany","NBR","Number","0","Units",,,7,,
"VULNERABLE","Number of vulnerable species","MAMMAL","Mammals","DEU","Germany","NBR","Number","0","Units",,,22,,
"THREATENED","Total number of threatened species","MAMMAL","Mammals","DEU","Germany","NBR","Number","0","Units",,,39,,
